scenario,seed,policy,unit,unit_type,explored_area_km2,first_coverage_area_km2,damage_hits,kill_credit,targets_damaged,alive,death_time,death_cause
L5_30,302,harness,white_usv2,USV,20250.0,0.0,5,4,5,True,,
L5_30,302,harness,white_uav2,UAV,53900.0,25275.0,0,0,0,False,25087,unknown
L5_30,302,harness,white_uav1,UAV,50175.0,19875.0,0,0,0,False,25087,unknown
L5_30,302,harness,white_uav5,UAV,63050.0,33275.0,0,0,0,False,25087,unknown
L5_30,302,harness,white_uav3,UAV,51850.0,9550.0,0,0,0,False,25087,unknown
L5_30,302,harness,white_uav4,UAV,52725.0,16400.0,0,0,0,False,25087,unknown
L5_30,303,harness,white_usv1,USV,12650.0,2200.0,14,4,4,False,10849,unknown
L5_30,303,harness,white_usv5,USV,12575.0,2200.0,7,0,6,False,9924,unknown
L5_30,303,harness,white_usv2,USV,14075.0,0.0,2,3,6,True,,
L5_30,303,harness,white_usv4,USV,12550.0,0.0,4,1,4,False,9322,unknown
L5_30,303,harness,white_usv3,USV,12950.0,0.0,3,7,7,True,,
L5_30,303,harness,white_uav2,UAV,25075.0,11725.0,0,0,0,True,,
L5_30,303,harness,white_uav3,UAV,17500.0,8375.0,0,0,0,True,,
L5_30,303,harness,white_uav5,UAV,22925.0,9325.0,0,0,0,True,,
L5_30,303,harness,white_uav1,UAV,25350.0,9325.0,0,0,0,True,,
L5_30,303,harness,white_uav4,UAV,22525.0,6475.0,0,0,0,True,,
L5_30,304,harness,white_usv3,USV,12475.0,550.0,11,2,5,False,9111,unknown
L5_30,304,harness,white_usv2,USV,15650.0,250.0,12,1,11,True,,
L5_30,304,harness,white_usv5,USV,12525.0,1225.0,0,1,3,False,8587,unknown
L5_30,304,harness,white_usv1,USV,15600.0,925.0,4,3,12,True,,
L5_30,304,harness,white_usv4,USV,15300.0,0.0,3,8,10,True,,
L5_30,304,harness,white_uav3,UAV,25550.0,13400.0,0,0,0,True,,
L5_30,304,harness,white_uav4,UAV,25050.0,10975.0,0,0,0,True,,
L5_30,304,harness,white_uav1,UAV,29525.0,11350.0,0,0,0,True,,
L5_30,304,harness,white_uav2,UAV,29200.0,9050.0,0,0,0,True,,
L5_30,304,harness,white_uav5,UAV,28350.0,14900.0,0,0,0,True,,
L5_30,305,harness,white_usv1,USV,12800.0,2175.0,3,2,4,False,9902,unknown
L5_30,305,harness,white_usv3,USV,12450.0,225.0,7,3,5,False,10099,unknown
L5_30,305,harness,white_usv2,USV,12600.0,0.0,3,1,5,False,9141,unknown
L5_30,305,harness,white_usv4,USV,12500.0,450.0,7,3,5,False,10099,unknown
L5_30,305,harness,white_usv5,USV,12775.0,1450.0,0,0,3,False,8219,unknown
L5_30,305,harness,white_uav5,UAV,31250.0,17325.0,0,0,0,True,,
L5_30,305,harness,white_uav2,UAV,27925.0,15400.0,0,0,0,True,,
L5_30,305,harness,white_uav3,UAV,21325.0,8550.0,0,0,0,True,,
L5_30,305,harness,white_uav4,UAV,21600.0,6625.0,0,0,0,True,,
L5_30,305,harness,white_uav1,UAV,29675.0,9800.0,0,0,0,True,,
L5_35,301,harness,white_usv1,USV,19725.0,1700.0,8,5,9,True,,
L5_35,301,harness,white_usv2,USV,12825.0,125.0,1,1,2,False,8946,unknown
L5_35,301,harness,white_usv3,USV,12600.0,125.0,12,1,5,False,9678,unknown
L5_35,301,harness,white_usv4,USV,17650.0,250.0,7,5,8,False,16179,unknown
L5_35,301,harness,white_usv5,USV,18525.0,1175.0,6,5,8,True,,
L5_35,301,harness,white_uav4,UAV,54075.0,32250.0,0,0,0,True,,
L5_35,301,harness,white_uav5,UAV,57250.0,23750.0,0,0,0,True,,
L5_35,301,harness,white_uav1,UAV,53750.0,10900.0,0,0,0,True,,
L5_35,301,harness,white_uav3,UAV,53800.0,11575.0,0,0,0,True,,
L5_35,301,harness,white_uav2,UAV,52850.0,8475.0,0,0,0,True,,
L5_35,302,harness,white_usv4,USV,12550.0,800.0,4,1,3,False,8440,unknown
L5_35,302,harness,white_usv1,USV,13150.0,2125.0,2,1,3,False,8864,unknown
L5_35,302,harness,white_usv3,USV,18200.0,150.0,18,4,9,True,,
L5_35,302,harness,white_usv2,USV,18000.0,25.0,6,7,8,True,,
L5_35,302,harness,white_usv5,USV,18650.0,1675.0,6,5,6,True,,
L5_35,302,harness,white_uav1,UAV,36575.0,12075.0,0,0,0,True,,
L5_35,302,harness,white_uav2,UAV,36200.0,10050.0,0,0,0,True,,
L5_35,302,harness,white_uav3,UAV,32100.0,10775.0,0,0,0,True,,
L5_35,302,harness,white_uav5,UAV,33250.0,13375.0,0,0,0,True,,
L5_35,302,harness,white_uav4,UAV,33125.0,13250.0,0,0,0,True,,
L5_35,303,harness,white_usv1,USV,14575.0,1525.0,10,2,7,True,,
L5_35,303,harness,white_usv4,USV,15900.0,500.0,5,2,9,True,,
L5_35,303,harness,white_usv3,USV,15300.0,0.0,15,5,8,True,,
L5_35,303,harness,white_usv5,USV,13950.0,975.0,3,6,7,True,,
L5_35,303,harness,white_usv2,USV,12775.0,0.0,3,3,4,False,9541,unknown
L5_35,303,harness,white_uav1,UAV,43350.0,13875.0,0,0,0,True,,
L5_35,303,harness,white_uav4,UAV,46775.0,30100.0,0,0,0,True,,
L5_35,303,harness,white_uav5,UAV,45350.0,28875.0,0,0,0,True,,
L5_35,303,harness,white_uav2,UAV,45875.0,14025.0,0,0,0,True,,
L5_35,303,harness,white_uav3,UAV,41150.0,10925.0,0,0,0,True,,
L5_35,304,harness,white_usv1,USV,17425.0,1525.0,4,2,6,True,,
L5_35,304,harness,white_usv4,USV,16525.0,500.0,8,3,6,True,,
L5_35,304,harness,white_usv3,USV,14875.0,0.0,16,4,6,True,,
L5_35,304,harness,white_usv2,USV,12550.0,0.0,2,1,3,False,9097,unknown
L5_35,304,harness,white_usv5,USV,16000.0,925.0,4,7,7,True,,
L5_35,304,harness,white_uav1,UAV,66075.0,18425.0,0,0,0,True,,
L5_35,304,harness,white_uav3,UAV,72925.0,29925.0,0,0,0,True,,
L5_35,304,harness,white_uav4,UAV,73875.0,33275.0,0,0,0,True,,
L5_35,304,harness,white_uav5,UAV,77950.0,32850.0,0,0,0,True,,
L5_35,304,harness,white_uav2,UAV,61575.0,16650.0,0,0,0,True,,
L5_35,305,harness,white_usv2,USV,12675.0,775.0,7,1,6,False,9893,unknown
L5_35,305,harness,white_usv3,USV,14925.0,100.0,19,3,8,True,,
L5_35,305,harness,white_usv1,USV,16650.0,1425.0,4,8,8,True,,
L5_35,305,harness,white_usv4,USV,12500.0,425.0,1,3,5,False,9759,unknown
L5_35,305,harness,white_usv5,USV,12825.0,1400.0,3,2,5,False,10187,unknown
L5_35,305,harness,white_uav2,UAV,46525.0,17575.0,0,0,0,True,,
L5_35,305,harness,white_uav4,UAV,47675.0,19000.0,0,0,0,True,,
L5_35,305,harness,white_uav5,UAV,50100.0,28250.0,0,0,0,True,,
L5_35,305,harness,white_uav1,UAV,44200.0,8975.0,0,0,0,True,,
L5_35,305,harness,white_uav3,UAV,40725.0,14675.0,0,0,0,True,,
L5_40,301,harness,white_usv2,USV,13275.0,800.0,5,4,9,False,12385,unknown
L5_40,301,harness,white_usv3,USV,18100.0,225.0,20,5,11,True,,
L5_40,301,harness,white_usv1,USV,18875.0,2000.0,6,6,8,True,,
L5_40,301,harness,white_usv4,USV,20925.0,525.0,5,3,7,True,,
