policy_id,n,block,group,feature,availability,mean,std,median,p25,p75,n_used
B3_ADAPTIVE,10,behavioral,temporal,first_contact_time,available,1856.1,9.2569,1854.0,1850.0,1864.0,10
B3_ADAPTIVE,10,behavioral,temporal,first_engagement_time,available,7393.9,17.0672,7395.0,7383.0,7410.0,10
B3_ADAPTIVE,10,behavioral,temporal,first_attack_time,available,8308.7,15.6783,8308.5,8297.0,8321.0,10
B3_ADAPTIVE,10,behavioral,temporal,resolution_time,available,28711.3,8264.3166,30239.0,24196.0,35676.0,10
B3_ADAPTIVE,10,behavioral,temporal,phase_switch_count,unavailable,,,,,,10
B3_ADAPTIVE,10,response,failure,failure_reason,,,,,,,10
B3_ADAPTIVE,10,response,outcomes,victory,available,0.9,0.3,1.0,1,1,10
B3_ADAPTIVE,10,response,outcomes,clean_win,available,0.6,0.4899,1.0,0,1,10
B3_ADAPTIVE,10,response,outcomes,breakthrough_count,available,0.4,0.4899,0.0,0.0,1.0,10
B3_ADAPTIVE,10,response,outcomes,white_friendly_losses,available,8.5,4.2953,10.0,4.0,11.0,10
B3_ADAPTIVE,10,response,outcomes,enemy_kills,available,19.5,0.6708,20.0,19.0,20.0,10
B3_ADAPTIVE,10,response,outcomes,explored_ratio,available,0.5204,0.0749,0.5328,0.4688,0.5835,10
B3_ADAPTIVE,10,response,outcomes,white_reacquire_count,available,4.6,2.9394,4.5,2.0,6.0,10
