episode_id,seed,trace_hash,formation_length,length_bucket,formation_width,width_bucket,formation_speed,speed_bucket,class_id,classification_method,valid
B0V2_S2_s9053,9053,29d38482ec0c16fc,53117.4,MID,2558.7,LOW,5.029,LOW,LENGTH_MID__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9054,9054,5c32aec4d0d4bc01,51216.2,MID,2132.1,LOW,5.324,LOW,LENGTH_MID__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9055,9055,790fa7fdeffc61b0,53218.1,MID,2244.0,LOW,5.499,LOW,LENGTH_MID__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9056,9056,d3d541651db70a8d,60490.0,HIGH,14645.3,HIGH,2.349,LOW,LENGTH_HIGH__WIDTH_HIGH__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9057,9057,4e8af039d9169854,55119.9,HIGH,2965.5,MID,9.602,HIGH,LENGTH_HIGH__WIDTH_MID__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9058,9058,a66afbacd5e01145,49180.9,MID,6408.2,HIGH,9.446,HIGH,LENGTH_MID__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9059,9059,01a1e1121e21ef9d,58849.6,HIGH,5256.0,HIGH,6.152,LOW,LENGTH_HIGH__WIDTH_HIGH__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9060,9060,cab886837e21ef38,45236.1,LOW,4134.5,HIGH,9.915,HIGH,LENGTH_LOW__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9061,9061,2aa244d01ef446c8,53508.8,MID,2667.7,LOW,7.453,MID,LENGTH_MID__WIDTH_LOW__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9062,9062,8ba9f00da307dcf7,53011.5,MID,5239.3,HIGH,8.928,HIGH,LENGTH_MID__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9063,9063,de1d1299651e1bc5,56085.3,HIGH,3934.2,MID,9.84,HIGH,LENGTH_HIGH__WIDTH_MID__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9064,9064,31e28384efacb185,46685.8,LOW,2375.7,LOW,6.067,LOW,LENGTH_LOW__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9065,9065,8354688bf2b91c59,50334.1,MID,1711.4,LOW,7.948,MID,LENGTH_MID__WIDTH_LOW__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9066,9066,4c58c880d2b22a7c,41969.3,LOW,3080.0,MID,7.772,MID,LENGTH_LOW__WIDTH_MID__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9067,9067,ee310593cbc48373,43555.2,LOW,3561.8,MID,7.048,MID,LENGTH_LOW__WIDTH_MID__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9068,9068,5e062f9d08336714,52112.0,MID,3623.0,MID,5.467,LOW,LENGTH_MID__WIDTH_MID__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9069,9069,70d8d9131293e94f,48118.1,LOW,2024.3,LOW,5.283,LOW,LENGTH_LOW__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9070,9070,ba02750bdfc36218,56309.1,HIGH,5641.3,HIGH,8.028,MID,LENGTH_HIGH__WIDTH_HIGH__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9071,9071,dce67ef81c81bdb9,57034.2,HIGH,3716.0,MID,6.138,LOW,LENGTH_HIGH__WIDTH_MID__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9072,9072,5d3feb023ae31690,45639.9,LOW,6602.8,HIGH,9.207,HIGH,LENGTH_LOW__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9073,9073,5468221184d615a6,55424.0,HIGH,4328.0,HIGH,8.92,HIGH,LENGTH_HIGH__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9074,9074,65f90de1f27782ae,52518.0,MID,2305.0,LOW,6.112,LOW,LENGTH_MID__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9075,9075,fd52238264a762df,43770.6,LOW,1414.6,LOW,6.081,LOW,LENGTH_LOW__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9076,9076,9ad7300eadb74f82,44386.8,LOW,3219.5,MID,8.154,HIGH,LENGTH_LOW__WIDTH_MID__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9077,9077,e26230a8025878d7,66858.3,HIGH,8296.8,HIGH,8.977,HIGH,LENGTH_HIGH__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9078,9078,53b05baff6b2b3d4,68621.3,HIGH,5581.6,HIGH,9.81,HIGH,LENGTH_HIGH__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9079,9079,13982a6d5912002f,43374.2,LOW,3659.4,MID,6.491,MID,LENGTH_LOW__WIDTH_MID__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9080,9080,1429e9f0ef8616e2,54353.9,MID,1747.2,LOW,5.35,LOW,LENGTH_MID__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9081,9081,6d698e391e69f1e5,55402.9,HIGH,5268.1,HIGH,7.299,MID,LENGTH_HIGH__WIDTH_HIGH__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9082,9082,8c21e38bf0187f42,44868.8,LOW,3162.2,MID,5.74,LOW,LENGTH_LOW__WIDTH_MID__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9083,9083,b29f4f8be721a219,49770.1,MID,4961.4,HIGH,8.55,HIGH,LENGTH_MID__WIDTH_HIGH__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9084,9084,6e81922d9762b437,44975.1,LOW,4517.2,HIGH,7.724,MID,LENGTH_LOW__WIDTH_HIGH__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9085,9085,22cbe5eb8772b780,54039.3,MID,2887.5,LOW,7.12,MID,LENGTH_MID__WIDTH_LOW__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9086,9086,e0602e357b59b571,62915.4,HIGH,3361.1,MID,7.957,MID,LENGTH_HIGH__WIDTH_MID__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9087,9087,149c36e26519ab49,50204.4,MID,3059.1,MID,8.169,HIGH,LENGTH_MID__WIDTH_MID__SPEED_HIGH,b0v2-27class-v1,1
B0V2_S2_s9088,9088,61ee18b182cf6887,66498.4,HIGH,4467.9,HIGH,7.048,MID,LENGTH_HIGH__WIDTH_HIGH__SPEED_MID,b0v2-27class-v1,1
B0V2_S2_s9089,9089,529360f27cbca65b,48959.9,MID,3931.0,MID,5.9,LOW,LENGTH_MID__WIDTH_MID__SPEED_LOW,b0v2-27class-v1,1
B0V2_S2_s9090,9090,40d44bd97a86371a,48393.2,MID,2733.1,LOW,5.858,LOW,LENGTH_MID__WIDTH_LOW__SPEED_LOW,b0v2-27class-v1,1
