episode_id,seed,scenario,white_version,black_profile,outcome,clean_win,breakthrough,friendly_usv_loss,enemy_kills,resolution_time,explored_area_km2,first_detection,first_lock,first_kill,reacquire_attempts,reacquire_success,first_friendly_death_time,abnormal_error,trace_path
S2_B3_s6039,6039,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,5,20,38779.0,96600.0,1853.0,7401.0,8287.0,285,284,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6039.log
S2_B3_s6040,6040,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,5,20,21974.0,83325.0,1859.0,7385.0,8273.0,138,138,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6040.log
S2_B3_s6041,6041,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,3,20,24709.0,101725.0,1858.0,7386.0,8287.0,228,228,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6041.log
S2_B3_s6042,6042,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,3,20,20332.0,112850.0,1850.0,7536.0,8465.0,141,141,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6042.log
S2_B3_s6043,6043,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,2,20,38866.0,100125.0,1870.0,7377.0,8284.0,180,179,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6043.log
S2_B3_s6044,6044,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,15190.0,76150.0,1861.0,7459.0,8357.0,131,131,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6044.log
S2_B3_s6045,6045,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,1,20,22554.0,93350.0,1848.0,7399.0,8297.0,187,187,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6045.log
S2_B3_s6046,6046,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,5,20,19905.0,83350.0,1865.0,7379.0,8281.0,106,106,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6046.log
S2_B3_s6047,6047,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,4,20,40662.0,97250.0,1854.0,7392.0,8300.0,213,212,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6047.log
S2_B3_s6048,6048,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,3,20,15476.0,77225.0,1853.0,7410.0,8311.0,91,91,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6048.log
S2_B3_s6049,6049,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,1,20,33251.0,114150.0,1866.0,7385.0,8317.0,234,233,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6049.log
S2_B3_s6050,6050,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,6,20,16017.0,77325.0,1858.0,7413.0,8303.0,180,180,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6050.log
S2_B3_s6051,6051,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,14709.0,79550.0,1854.0,7390.0,8283.0,190,190,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6051.log
S2_B3_s6052,6052,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,21309.0,114525.0,1867.0,7392.0,8282.0,148,148,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6052.log
S2_B3_s6053,6053,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,20202.0,91400.0,1866.0,7397.0,8302.0,117,117,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6053.log
S2_B3_s6054,6054,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,1,20,21216.0,109175.0,1868.0,7380.0,8330.0,179,179,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6054.log
S2_B3_s6055,6055,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,3,20,19936.0,82800.0,1847.0,7435.0,8353.0,238,238,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6055.log
S2_B3_s6056,6056,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,5,20,40816.0,105900.0,1864.0,7400.0,8302.0,210,209,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6056.log
S2_B3_s6057,6057,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,1,20,24316.0,109650.0,1854.0,7396.0,8284.0,168,168,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6057.log
S2_B3_s6058,6058,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,5,20,38639.0,98450.0,1845.0,7403.0,8303.0,253,252,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6058.log
S2_B3_s6059,6059,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,3,20,22717.0,108375.0,1845.0,7433.0,8325.0,205,205,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6059.log
S2_B3_s6060,6060,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,17282.0,88675.0,1861.0,7392.0,8310.0,143,143,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6060.log
S2_B3_s6061,6061,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,6,20,18371.0,83825.0,1865.0,7395.0,8356.0,126,126,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6061.log
S2_B3_s6062,6062,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,2,20,38158.0,118650.0,1862.0,7369.0,8306.0,175,174,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6062.log
S2_B3_s6063,6063,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,1,20,23236.0,128625.0,1858.0,7380.0,8313.0,174,174,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6063.log
S2_B3_s6064,6064,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,2,20,42532.0,98150.0,1846.0,7419.0,8337.0,179,178,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6064.log
S2_B3_s6065,6065,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,4,20,41419.0,108825.0,1867.0,7391.0,8332.0,221,220,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6065.log
S2_B3_s6066,6066,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,3,20,16697.0,91225.0,1863.0,7389.0,8281.0,158,158,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6066.log
S2_B3_s6067,6067,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,21881.0,120000.0,1854.0,7450.0,8344.0,170,170,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6067.log
S2_B3_s6068,6068,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,5,20,41218.0,106400.0,1864.0,7394.0,8301.0,142,141,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6068.log
S2_B3_s6069,6069,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,18647.0,79400.0,1845.0,7547.0,8468.0,270,270,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6069.log
S2_B3_s6070,6070,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,21497.0,105475.0,1851.0,7385.0,8287.0,205,205,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6070.log
S2_B3_s6071,6071,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,4,20,37329.0,126150.0,1856.0,7427.0,8338.0,198,197,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6071.log
S2_B3_s6072,6072,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,3,20,24136.0,112550.0,1856.0,7369.0,8296.0,110,110,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6072.log
S2_B3_s6073,6073,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,4,20,18355.0,100050.0,1840.0,7421.0,8342.0,207,207,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6073.log
S2_B3_s6074,6074,S2,W5,B3_ADAPTIVE,DEFEAT,0,1,3,19,26145.0,132900.0,1863.0,7421.0,8321.0,136,134,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6074.log
S2_B3_s6075,6075,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,0,20,15798.0,85750.0,1849.0,7543.0,8445.0,155,155,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6075.log
S2_B3_s6076,6076,S2,W5,B3_ADAPTIVE,DEFEAT,0,1,8,17,24618.0,89075.0,1848.0,7418.0,8311.0,262,259,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6076.log
S2_B3_s6077,6077,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,25107.0,99100.0,1866.0,7403.0,8302.0,163,163,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6077.log
S2_B3_s6078,6078,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,25826.0,117075.0,1860.0,7373.0,8291.0,142,142,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6078.log
S2_B3_s6079,6079,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,4,20,16038.0,69825.0,1847.0,7443.0,8364.0,209,209,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6079.log
S2_B3_s6080,6080,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,6,20,37898.0,92725.0,1847.0,7440.0,8352.0,222,221,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6080.log
S2_B3_s6081,6081,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,3,20,15383.0,75825.0,1847.0,7455.0,8337.0,173,173,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6081.log
S2_B3_s6082,6082,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,4,20,37493.0,94350.0,1846.0,7400.0,8290.0,210,209,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6082.log
S2_B3_s6083,6083,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,1,20,17682.0,78875.0,1855.0,7421.0,8347.0,210,210,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6083.log
S2_B3_s6084,6084,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,14681.0,82700.0,1864.0,7470.0,8388.0,138,138,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6084.log
S2_B3_s6085,6085,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,4,20,24637.0,97550.0,1849.0,7525.0,8442.0,420,420,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6085.log
S2_B3_s6086,6086,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,1,20,23856.0,110825.0,1851.0,7443.0,8382.0,160,160,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6086.log
S2_B3_s6087,6087,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,4,20,15262.0,76725.0,1846.0,7442.0,8350.0,225,225,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6087.log
S2_B3_s6088,6088,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,3,20,25494.0,112725.0,1848.0,7409.0,8380.0,185,185,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6088.log
S2_B3_s6089,6089,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,6,20,18163.0,72000.0,1845.0,7443.0,8355.0,326,326,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6089.log
S2_B3_s6090,6090,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,0,20,14010.0,74950.0,1851.0,7515.0,8413.0,143,143,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6090.log
S2_B3_s6091,6091,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,22643.0,108425.0,1871.0,7461.0,8370.0,184,184,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6091.log
S2_B3_s6092,6092,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,2,20,21947.0,113775.0,1866.0,7406.0,8328.0,128,128,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6092.log
S2_B3_s6093,6093,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,4,20,38255.0,106300.0,1861.0,7462.0,8387.0,177,176,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6093.log
S2_B3_s6094,6094,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,3,20,16853.0,81975.0,1860.0,7425.0,8357.0,224,224,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6094.log
S2_B3_s6095,6095,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,2,20,39962.0,93500.0,1844.0,7377.0,8277.0,181,180,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6095.log
S2_B3_s6096,6096,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,3,20,14282.0,63075.0,1841.0,7385.0,8298.0,238,238,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6096.log
S2_B3_s6097,6097,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,3,20,16476.0,79425.0,1840.0,7502.0,8389.0,141,141,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6097.log
S2_B3_s6098,6098,S2,W5,B3_ADAPTIVE,DEFEAT,0,1,4,19,24182.0,106100.0,1851.0,7428.0,8357.0,313,312,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6098.log
S2_B3_s6099,6099,S2,W5,B3_ADAPTIVE,CLEAN_WIN,1,0,6,20,26223.0,112450.0,1870.0,7389.0,8287.0,200,200,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6099.log
S2_B3_s6100,6100,S2,W5,B3_ADAPTIVE,BREAKTHROUGH_WIN,0,1,5,20,39503.0,95550.0,1858.0,7417.0,8322.0,266,265,,0,/root/autodl-tmp/hsystem/auto_harness/phase0/corpus/logs/S2_B3_s6100.log
